insee;gid;lon;lat
69256;5595;4,9491517;45,7980134
69388;5596;4,8753055;45,7300036
69385;5597;4,8203414;45,76676
69152;5598;4,8378920999999995;45,6952159
69385;5599;4,8154936;45,7586969
69259;5600;4,8885657;45,6984046
69383;5601;4,8943504;45,7479674
69081;5602;4,7903713;45,7823767
69382;5603;4,8285449;45,7507738
69256;5604;4,9111144;45,7865637
69256;5605;4,9268334;45,7769743
69266;5606;4,8966312;45,7605966
69384;5607;4,8268711;45,7799963
69382;5608;4,8301638;45,7574716
69259;5609;4,9007328;45,7147322
69382;5610;4,8284852;45,7507228
69382;5611;4,8313492;45,7573943
69384;5612;4,8116289;45,7758247
69259;5613;4,8992322;45,7187406
69386;5614;4,8579741;45,7672262
69383;5615;4,8839854;45,7419195
69382;5616;4,8326552;45,7581774
69386;5617;4,8527062;45,7747318
69388;5618;4,8710453;45,7280459
69384;5619;4,8262309;45,7740012
69386;5620;4,8508849;45,764759
69383;5621;4,8771404;45,7477253
69256;5622;4,9257793;45,7751617
69259;5623;4,8841927;45,7188467
69388;5624;4,8788149;45,7412359
69256;5625;4,9108146;45,7866724
69386;5626;4,8506205;45,7830594
69384;5627;4,8201526999999995;45,7802015
69385;5628;4,827094;45,7598177
69384;5629;4,8307614;45,7774516
69384;5630;4,8314521;45,777513
69385;5631;4,7962148;45,7624321
69382;5632;4,8366675;45,7644005
69386;5633;4,8414582;45,7687365
69259;5634;4,8827148;45,7182174
69259;5635;4,8809123;45,7173769
69259;5636;4,8557059;45,7263062
69266;5637;4,8698046;45,7843214
69259;5638;4,9000143;45,7202907
69266;5639;4,8698522;45,7828727
69256;5640;4,9161109;45,783955399999996
69081;5641;4,7674307;45,783251
69259;5642;4,8592607999999995;45,7257873
69259;5643;4,8814133;45,6945755
69266;5644;4,8660507;45,7733796
69385;5645;4,7962517;45,7633125
69381;5646;4,8313597999999995;45,7652348
69382;5647;4,8329177;45,7554734
69386;5648;4,8427907999999995;45,7686877
69382;5649;4,8303648;45,7573413
69266;5650;4,8634729;45,7826594
69127;5651;4,7268609999999995;45,7869756
69386;5652;4,8421617999999995;45,7686154
69383;5653;4,8409134;45,7606849
69382;5654;4,8320064;45,7569684
69385;5655;4,8275127;45,7601617
69259;5656;4,8555265;45,7268994
69386;5657;4,8566545;45,7814714
69386;5658;4,8531622;45,7838043
69386;5659;4,8480485;45,7645143
69069;5660;4,7236086;45,7465153
69383;5661;4,8850087;45,7418329
69386;5662;4,8418298;45,7687721
69259;5663;4,9018141;45,7125284
69384;5664;4,8126693;45,774872
69384;5665;4,8126397999999995;45,7748622
69383;5666;4,8518231;45,7609277
69250;5667;4,7223254;45,8053008
