ligne;code_trace;code_ligne;nom_trace;sens;origine;destination;nom_origine;nom_destination;famille_transport;date_debut;date_fin;pmr;code_tri_ligne;nom_version;last_update;gid
GE2;GE2-1;GE2A;Feyzin Gare - Solaize CRES;Aller;10436;33704;Feyzin Gare;Solaize CRES;BUS;20180101;;True;G E2;18 septembre 2024;2024-09-18 13:33:38+02:00;679
GE6;GE6-1;GE6B;Charbonnieres Gare - Charbonnieres Gare;Aller;30092;30092;Charbonnières Gare;Charbonnières Gare;BUS;20230201;;False;G E6;18 septembre 2024;2024-09-18 13:33:38+02:00;683
GE2;GE2-2;GE2A;Solaize CRES - Feyzin Gare;Retour;33704;10436;Solaize CRES;Feyzin Gare;BUS;20180101;;True;G E2;18 septembre 2024;2024-09-18 13:33:38+02:00;680
N20;N20-1;N20;Gare de Vaise - Mont Thou;Aller;10487;30488;Gare de Vaise-G.Collomb;Mont Thou;BUS;20230106;;False;N 20;18 septembre 2024;2024-09-18 13:33:38+02:00;831
C26;C26-3;C26A;Cite Inter Transbordeur - Grange Blanche;Aller;10387;10524;Cité Inter Transbordeur;Grange Blanche;BUS;20240801;;True;C 26;18 septembre 2024;2024-09-18 13:33:38+02:00;864
N81;N81-2;N81;Grand Parc Fontanil - Gare de Venissieux;Retour;34586;20487;Grand Parc Le Fontanil;Gare de Vénissieux;BUS;20220207;;False;N 81;18 septembre 2024;2024-09-18 13:33:38+02:00;800
N20;N20-2;N20;Mont Thou - Gare de Vaise;Retour;30488;10487;Mont Thou;Gare de Vaise-G.Collomb;BUS;20230106;;False;N 20;18 septembre 2024;2024-09-18 13:33:38+02:00;832
C18;C18-2;C18A;Croix-Rousse Nord - Hôtel de Ville Louis Pradel;Retour;30957;10568;Croix-Rousse Nord;Hôtel de Ville L. Pradel;BUS;20180101;;True;C 18;18 septembre 2024;2024-09-18 13:33:38+02:00;390
GE4;GE4-4;GE4A;Techlid Le Tronchon - La Tour de Salvagny Gare;Retour;33790;30155;Techlid Le Tronchon;La Tour de Salvagny Gare;BUS;20220301;;True;G E4;18 septembre 2024;2024-09-18 13:33:38+02:00;771
N80;N80-1;N80;Vaulx-en-Velin La Soie - Grand Parc le Morlet;Aller;31760;30002;Vaulx-en-Velin La Soie;Grand Parc le Morlet;BUS;20290621;;False;N 80;18 septembre 2024;2024-09-18 13:33:38+02:00;773
N82;N82-1;N82;Gare de Vaise - Grand Parc les Sablettes;Aller;10487;34587;Gare de Vaise-G.Collomb;Grand Parc les Sablettes;BUS;20220207;;False;N 82;18 septembre 2024;2024-09-18 13:33:38+02:00;801
N83;N83-1;N83;Vaulx-en-Velin La Soie - Grd Parc Miribel Jonage;Aller;31760;11045;Vaulx-en-Velin La Soie;Grand Parc L'atol';BUS;20220101;;True;N 83;18 septembre 2024;2024-09-18 13:33:38+02:00;775
C19;C19-1;C19A;Perrache - Francheville Taffignon;Aller;30977;10173;Perrache;Francheville Taffignon;BUS;20180101;;True;C 19;18 septembre 2024;2024-09-18 13:33:38+02:00;391
C19;C19-2;C19A;Francheville Taffignon - Perrache;Retour;10173;30977;Francheville Taffignon;Perrache;BUS;20180101;;True;C 19;18 septembre 2024;2024-09-18 13:33:38+02:00;392
N83;N83-2;N83;Grd Parc Miribel Jonage - Vaulx-en-Velin La Soie;Retour;11045;31760;Grand Parc L'atol';Vaulx-en-Velin La Soie;BUS;20220101;;True;N 83;18 septembre 2024;2024-09-18 13:33:38+02:00;776
