materiau;dossier;insee;source;gid;lon;lat
bois;True;69383;Open Street Map;209;4,848224;45,7582094
;True;69386;Open Street Map;210;4,8531989;45,7769173
bois;True;69383;Open Street Map;211;4,8675113;45,7538473
bois;True;69382;Open Street Map;212;4,8343789;45,7648017
bois;True;69290;Open Street Map;213;4,9296035;45,7025838
bois;True;69244;Open Street Map;214;4,7837919;45,7658056
;True;69290;Open Street Map;216;4,942489;45,697175
;True;69383;Open Street Map;217;4,8723378;45,7481474
béton;False;69290;Open Street Map;218;4,9438767;45,6909763
bois;True;69389;Open Street Map;219;4,8318997;45,7972239
;True;69149;Open Street Map;220;4,8097278;45,7160643
;;69044;Open Street Map;221;4,7442453;45,7782804
bois;True;69271;Open Street Map;222;4,9557249;45,7471944
;True;69387;Open Street Map;223;4,8218078;45,72122
;True;69290;Open Street Map;224;4,9810519;45,6964421
;True;69384;Open Street Map;225;4,8165341;45,7748502
béton;False;69290;Open Street Map;226;4,9489653;45,6954396
;True;69387;Open Street Map;227;4,8533559;45,7495583
;True;69387;Open Street Map;228;4,8524296;45,7517829
;True;69266;Open Street Map;231;4,8807;45,7688703
bois;True;69149;Open Street Map;232;4,806865;45,7196476
;;69117;Open Street Map;233;4,7436831;45,8422996
;True;69387;Open Street Map;235;4,8376526;45,7376197
;True;69381;Open Street Map;236;4,8267402;45,7731155
;True;69387;Open Street Map;238;4,8218219;45,7227214
;;69385;Open Street Map;239;4,7977082;45,7593235
béton;False;69266;Open Street Map;240;4,8834099;45,7806235
;True;69383;Open Street Map;241;4,8869952;45,7489825
;True;69388;Open Street Map;242;4,8673779;45,7303507
bois;False;69266;Open Street Map;244;4,8836555;45,7841787
;False;69386;Open Street Map;245;4,8578123;45,780162
;False;69276;Open Street Map;246;4,8761318;45,6671411
;True;69142;Open Street Map;247;4,8047572;45,7248964
;True;69292;Open Street Map;249;4,8676181;45,8155032
bois;True;69290;Open Street Map;251;4,9360979;45,6886843
pierre;False;69381;Open Street Map;252;4,8269225;45,7730294
;True;69382;Open Street Map;253;4,8354357;45,7562327
;True;69383;Open Street Map;254;4,8821855;45,7527889
;True;69034;Open Street Map;255;4,8459415;45,7842343
;True;69149;Open Street Map;256;4,8056013;45,7112324
;True;69149;Open Street Map;257;4,8076095;45,7072287
bois;True;69290;Open Street Map;258;4,9687408;45,6945249
;True;69389;Open Street Map;259;4,8039745;45,7792962
bois;True;69386;Open Street Map;261;4,8525796;45,7779242
;True;69034;Open Street Map;262;4,8670992;45,788687
;;69199;Open Street Map;263;4,854543;45,7021375
bois;True;69096;Open Street Map;264;4,7817264;45,5976673
;True;69387;Open Street Map;265;4,8252624;45,720995
;True;69384;Open Street Map;268;4,8341715;45,7746675
;False;69387;Open Street Map;269;4,8216601;45,7307834
bois;True;69290;Open Street Map;271;4,946541;45,6948635
bois;True;69381;Open Street Map;272;4,8258339;45,7692791
;True;69388;Open Street Map;273;4,8673599;45,7303814
;True;69384;Open Street Map;276;4,8341732;45,7746808
bois;True;69388;Open Street Map;277;4,8583101;45,7401807
béton;True;69260;Open Street Map;278;4,8150305;45,6477295
métal;True;69383;Open Street Map;279;4,8639173;45,7595233
;False;69266;Open Street Map;280;4,8791011;45,766142
;;69279;Open Street Map;281;5,030251;45,7955477
pierre;False;69290;Open Street Map;282;4,9425528;45,6992117
;;69199;Open Street Map;283;4,8533859;45,7027955
;False;69382;Open Street Map;288;4,8337938;45,7606449
;;69389;Open Street Map;289;4,7976532;45,7902813
;;69069;Open Street Map;293;4,7233708;45,7457597
bois;True;69149;Open Street Map;294;4,8059668;45,719575
bois;False;69266;Open Street Map;295;4,8836636;45,784161
bois;True;69142;Open Street Map;296;4,8163468;45,7259461
pierre;False;69290;Open Street Map;297;4,9374677;45,6952382
bois;False;69290;Open Street Map;298;4,9426072;45,6920929
bois;True;69387;Open Street Map;300;4,8504115;45,7484914
bois;True;69387;Open Street Map;301;4,8480546;45,748809
béton;False;69266;Open Street Map;302;4,883579;45,7804055
;True;69081;Open Street Map;303;4,7778048;45,7728133
;;69081;Open Street Map;304;4,7701203;45,7825318
;True;69387;Open Street Map;305;4,8243727;45,7204629
bois;False;69387;Open Street Map;307;4,8362112;45,7388784
;True;69383;Open Street Map;308;4,8945016;45,7490327
;True;69381;Open Street Map;309;4,8335508;45,7667629
;True;69290;Open Street Map;310;4,9454644;45,6925371
;True;69385;Open Street Map;311;4,8156203;45,7606905
béton;True;69384;Open Street Map;312;4,830671;45,7749436
bois;False;69388;Open Street Map;316;4,8689186;45,7431225
;;69385;Open Street Map;317;4,8216222;45,7549672
bois;True;69142;Open Street Map;318;4,8089439;45,7264195
;True;69382;Open Street Map;320;4,8315239;45,7550409
bois;;69204;Open Street Map;321;4,7873151;45,6916441
;True;69387;Open Street Map;323;4,8250846;45,7324706
;;69202;Open Street Map;324;4,8030452;45,7370799
;False;69387;Open Street Map;326;4,8540898;45,7468584
métal;True;69259;Open Street Map;327;4,8854281;45,7095424
béton;True;69386;Open Street Map;328;4,8425808;45,7751185
;False;69381;Open Street Map;329;4,8355809;45,7746431
;;69388;Open Street Map;330;4,8544776;45,7390127
;False;69386;Open Street Map;331;4,8426305;45,7755893
;True;69266;Open Street Map;332;4,8798297;45,7662372
bois;True;69382;Open Street Map;333;4,8200526;45,7487475
;True;69383;Open Street Map;337;4,8685547;45,7582772
;True;69387;Open Street Map;338;4,823894;45,7201686
bois;True;69383;Open Street Map;339;4,8952514;45,748102
;;69081;Open Street Map;340;4,7776832;45,7746653
;True;69382;Open Street Map;341;4,8148221;45,7436566
;True;69387;Open Street Map;342;4,8218489;45,7226949
;;69044;Open Street Map;343;4,7442235;45,7783492
bois;False;69259;Open Street Map;344;4,885283;45,6814097
;True;69383;Open Street Map;345;4,867685;45,7518635
;True;69292;Open Street Map;346;4,8731072;45,8274715
;True;69034;Open Street Map;348;4,8326311;45,7834999
;True;69034;Open Street Map;349;4,8635453;45,8128008
béton;True;69260;Open Street Map;350;4,8142762;45,6464854
métal;True;69383;Open Street Map;355;4,8817061;45,7526796
bois;True;69202;Open Street Map;356;4,8059886;45,7377122
;True;69386;Open Street Map;357;4,8550687;45,7755101
béton;False;69266;Open Street Map;358;4,8836743;45,7807659
bois;True;69202;Open Street Map;359;4,8059719;45,7375748
;True;69383;Open Street Map;360;4,8724054;45,748292
;True;69387;Open Street Map;361;4,8376901;45,7374849
;;69292;Open Street Map;362;4,8668716;45,8275713
bois;False;69383;Open Street Map;363;4,8483244;45,7581958
bois;True;69266;Open Street Map;364;4,8624158;45,7702866
;;69290;Open Street Map;365;4,9512432;45,695977
pierre;False;69266;Open Street Map;366;4,8837219;45,7866348
béton;False;69266;Open Street Map;367;4,883872;45,7808721
;True;69034;Open Street Map;368;4,8438112;45,7976211
bois;True;69388;Open Street Map;369;4,8578875;45,7402849
;True;69388;Open Street Map;370;4,877337;45,74043
bois;;69044;Open Street Map;371;4,7405295;45,7788746
;;69290;Open Street Map;372;4,9413822;45,7012525
;False;69387;Open Street Map;373;4,8256323;45,7393374
;True;69383;Open Street Map;374;4,8521127;45,7573315
bois;True;69384;Open Street Map;377;4,8383275;45,7809364
bois;True;69290;Open Street Map;378;4,9454879;45,6963158
métal;True;69383;Open Street Map;380;4,8639251;45,7599326
;True;69260;Open Street Map;381;4,8145102;45,6513116
métal;True;69081;Open Street Map;382;4,7701572;45,7833955
;True;69385;Open Street Map;383;4,8238877;45,7626047
;True;69385;Open Street Map;384;4,8252947;45,7575904
;;69290;Open Street Map;385;4,9510679;45,6896932
pierre;True;69384;Open Street Map;386;4,8393342;45,7749601
;True;69387;Open Street Map;387;4,854542;45,7453472
;True;69149;Open Street Map;389;4,8068846;45,7079467
béton;False;69266;Open Street Map;390;4,8835553;45,7803947
bois;True;69266;Open Street Map;391;4,8729103;45,7616703
;True;69381;Open Street Map;392;4,8216548;45,7688168
;True;69034;Open Street Map;393;4,8434059;45,7973841
;True;69127;Open Street Map;394;4,719462;45,7857623
;True;69387;Open Street Map;395;4,8429852;45,7466828
;True;69290;Open Street Map;396;4,9624032;45,6946915
;True;69034;Open Street Map;397;4,8497439;45,8007215
;;69275;Open Street Map;398;4,9569146;45,7707109
;True;69290;Open Street Map;399;4,937686;45,6963995
;True;69384;Open Street Map;400;4,8381996;45,7755064
;True;69384;Open Street Map;402;4,8327195;45,7773343
bois;True;69275;Open Street Map;404;4,9679596;45,7593688
;True;69389;Open Street Map;405;4,8163126;45,7902299
;;69385;Open Street Map;407;4,8232121;45,7614612
;True;69386;Open Street Map;408;4,8515958;45,7744868
bois;False;69387;Open Street Map;409;4,8362656;45,7388714
;True;69382;Open Street Map;410;4,8348636;45,7563965
bois;True;69385;Open Street Map;411;4,8147491;45,7586983
;True;69384;Open Street Map;412;4,825054;45,7823307
;True;69034;Open Street Map;414;4,8303054;45,7905388
;True;69266;Open Street Map;415;4,8799781;45,7662786
;;69116;Open Street Map;416;4,7761311;45,8357369
;False;69387;Open Street Map;418;4,8346436;45,7395957
bois;True;69204;Open Street Map;420;4,785979;45,6917058
;True;69381;Open Street Map;422;4,83168;45,7721774
;False;69266;Open Street Map;423;4,8801605;45,7661607
;True;69290;Open Street Map;424;4,9455428;45,6925612
béton;False;69266;Open Street Map;425;4,883905;45,7809282
bois;True;69149;Open Street Map;426;4,8051036;45,715255
;;69273;Open Street Map;427;4,8986738;45,6715609
;;69244;Open Street Map;428;4,7728539;45,7576188
métal;False;69382;Open Street Map;429;4,8351029;45,7631367
pierre;False;69290;Open Street Map;430;4,9351493;45,6947373
bois;True;69382;Open Street Map;431;4,8206657;45,7491752
;True;69389;Open Street Map;436;4,8092996;45,7670543
bois;True;69387;Open Street Map;437;4,8331319;45,7414497
bois;False;69256;Open Street Map;438;4,911007;45,7688444
;True;69389;Open Street Map;439;4,8113244;45,7868918
;True;69387;Open Street Map;440;4,8260791;45,7365859
;True;69387;Open Street Map;442;4,8258032;45,7213249
;True;69389;Open Street Map;443;4,8128255;45,7861012
bois;True;69388;Open Street Map;444;4,8680651;45,7370006
;True;69387;Open Street Map;446;4,8242794;45,7313618
;;69385;Open Street Map;450;4,7870004;45,7553945
;True;69383;Open Street Map;451;4,8517524;45,7574173
;;69081;Open Street Map;453;4,7685881;45,7829115
bois;False;69389;Open Street Map;454;4,8131037;45,788129
;True;69034;Open Street Map;455;4,8643959;45,7877024
;True;69386;Open Street Map;456;4,8407288;45,7684538
bois;True;69388;Open Street Map;457;4,8669218;45,7390439
;;69385;Open Street Map;458;4,8209342;45,7599486
;;69266;Open Street Map;459;4,8809811;45,7677744
bois;True;69271;Open Street Map;461;4,953848;45,7416927
;True;69034;Open Street Map;462;4,849013;45,7912673
;;69388;Open Street Map;463;4,8831411;45,732525
;False;69266;Open Street Map;464;4,8613579;45,7743423
;True;69387;Open Street Map;467;4,822518;45,7204948
;True;69384;Open Street Map;468;4,8203309;45,7793941
;True;69385;Open Street Map;470;4,7942805;45,7587501
bois;True;69388;Open Street Map;472;4,8678374;45,7402419
;False;69387;Open Street Map;473;4,8553125;45,7455438
;True;69385;Open Street Map;474;4,8240744;45,7587966
;True;69387;Open Street Map;475;4,8252584;45,7324699
;False;69381;Open Street Map;476;4,8216573;45,7680186
bois;True;69387;Open Street Map;477;4,8472647;45,7458124
;True;69381;Open Street Map;479;4,8200798;45,7688172
métal;False;69382;Open Street Map;480;4,8346488;45,7618295
;False;69381;Open Street Map;481;4,8228476;45,768202
;True;69202;Open Street Map;482;4,7980093;45,7387994
bois;True;69290;Open Street Map;483;4,9464696;45,6962951
;;69266;Open Street Map;484;4,8770601;45,7637212
;True;69385;Open Street Map;485;4,8216073;45,7585953
bois;;69096;Open Street Map;486;4,7799721;45,5995383
bois;True;69385;Open Street Map;489;4,7986547;45,7618814
;True;69387;Open Street Map;491;4,852985;45,7495747
bois;False;69276;Open Street Map;492;4,8761842;45,676058
;True;69034;Open Street Map;493;4,8491631;45,7948075
;;69290;Open Street Map;494;4,9412194;45,7012292
;True;69385;Open Street Map;495;4,8163727;45,7632276
;True;69385;Open Street Map;496;4,8215988;45,7632979
;False;69381;Open Street Map;497;4,8351347;45,7745544
;;69389;Open Street Map;498;4,7989249;45,777865
;True;69389;Open Street Map;499;4,816491;45,7903365
;True;69385;Open Street Map;500;4,8240657;45,7629679
bois;True;69266;Open Street Map;501;4,8705762;45,7709453
;True;69266;Open Street Map;502;4,8791658;45,766337
;True;69034;Open Street Map;504;4,8449848;45,7834793
;;69385;Open Street Map;505;4,821393;45,7593689
;True;69382;Open Street Map;506;4,8143769;45,7425748
;True;69290;Open Street Map;507;4,9448003;45,6921908
;True;69290;Open Street Map;508;4,9339852;45,6935556
;True;69387;Open Street Map;510;4,8254315;45,7211006
;False;69387;Open Street Map;511;4,8557901;45,7434682
;True;69290;Open Street Map;513;4,9457477;45,6922596
;True;69387;Open Street Map;514;4,8220895;45,7252194
;;69259;Open Street Map;516;4,8849521;45,7124842
bois;True;69266;Open Street Map;517;4,8906157;45,7595705
;False;69387;Open Street Map;521;4,8284429;45,7427888
métal;True;69081;Open Street Map;522;4,7672371;45,7831903
;True;69386;Open Street Map;523;4,8504473;45,777877
;True;69034;Open Street Map;524;4,849143;45,7915613
métal;True;69383;Open Street Map;525;4,8821554;45,7529752
métal;True;69383;Open Street Map;526;4,8639228;45,7597993
;True;69385;Open Street Map;527;4,8227239;45,7628144
;True;69290;Open Street Map;528;4,9556816;45,6934624
;True;69386;Open Street Map;529;4,866957;45,7650384
;True;69381;Open Street Map;532;4,8335251;45,766893
;True;69381;Open Street Map;533;4,831968;45,7720364
bois;True;69388;Open Street Map;536;4,8579253;45,7403416
;;69266;Open Street Map;537;4,8769161;45,7637219
bois;True;69385;Open Street Map;538;4,7986864;45,7619008
bois,métal;True;69384;Open Street Map;539;4,8359338;45,7794757
;;69044;Open Street Map;540;4,73972;45,7800713
;True;69382;Open Street Map;541;4,8152611;45,7442093
;True;69389;Open Street Map;545;4,8292491;45,7996317
bois;;69044;Open Street Map;546;4,7361215;45,7824746
;True;69385;Open Street Map;547;4,824191;45,7630119
;True;69387;Open Street Map;548;4,8532769;45,7494272
;False;69207;Open Street Map;549;4,8031511;45,8839262
béton;True;69260;Open Street Map;551;4,815046;45,6479901
;True;69387;Open Street Map;552;4,8254518;45,7319069
;False;69149;Open Street Map;553;4,813149;45,7166559
;;69388;Open Street Map;555;4,8559635;45,7371088
;True;69271;Open Street Map;556;4,9698792;45,737891
;True;69034;Open Street Map;557;4,8582617;45,8026849
;True;69383;Open Street Map;559;4,8669527;45,7519271
bois;True;69383;Open Street Map;561;4,8683173;45,7519968
;True;69387;Open Street Map;562;4,8256802;45,7289778
pierre;False;69290;Open Street Map;564;4,9353967;45,6950389
bois,métal;True;69384;Open Street Map;566;4,8360049;45,7795814
pierre;False;69381;Open Street Map;567;4,8328652;45,766147
bois;;69266;Open Street Map;568;4,8942593;45,7545013
bois;True;69383;Open Street Map;569;4,8954653;45,7480453
;True;69088;Open Street Map;570;4,8551772;45,8319393
;False;69387;Open Street Map;574;4,8553499;45,7455059
pierre;False;69266;Open Street Map;575;4,8834195;45,7866795
;;69168;Open Street Map;576;4,8453549;45,8505772
;True;69202;Open Street Map;578;4,7885941;45,7414249
;True;69387;Open Street Map;580;4,8362343;45,7384429
bois;True;69259;Open Street Map;582;4,8988233;45,7172735
pierre;False;69290;Open Street Map;583;4,9351432;45,6946417
;;69266;Open Street Map;584;4,8809882;45,7676504
pierre;False;69266;Open Street Map;585;4,8836439;45,7863817
;True;69389;Open Street Map;588;4,8129483;45,7862435
bois;True;69149;Open Street Map;590;4,80664;45,7128358
métal;True;69381;Open Street Map;591;4,8330929;45,7704741
;False;69387;Open Street Map;592;4,8546401;45,7471909
;True;69385;Open Street Map;594;4,8214623;45,7632617
;False;69387;Open Street Map;595;4,854005;45,7468936
béton;False;69266;Open Street Map;596;4,8836524;45,7807545
;True;69290;Open Street Map;597;4,955807;45,6934671
;True;69382;Open Street Map;598;4,8315804;45,7551554
bois;True;69266;Open Street Map;599;4,9022168;45,7678636
;True;69034;Open Street Map;600;4,8539072;45,8014693
;False;69383;Open Street Map;601;4,8768231;45,7487873
béton;False;69266;Open Street Map;602;4,883429;45,7808443
;True;69387;Open Street Map;604;4,8260721;45,7214885
bois;False;69260;Open Street Map;605;4,8058628;45,6338857
bois;True;69244;Open Street Map;606;4,7863999;45,7644204
;True;69385;Open Street Map;607;4,7802359;45,7518437
bois;False;69266;Open Street Map;608;4,8836321;45,7841741
;True;69385;Open Street Map;609;4,816678;45,7631596
;True;69387;Open Street Map;610;4,824297;45,7284016
bois;True;69383;Open Street Map;612;4,8416186;45,7607588
bois;True;69271;Open Street Map;613;4,9549501;45,746275
;True;69290;Open Street Map;614;4,9376906;45,696489
béton;False;69266;Open Street Map;615;4,878646;45,7588864
;;69290;Open Street Map;616;4,9414517;45,7012622
;True;69387;Open Street Map;618;4,8257349;45,7291909
;True;69034;Open Street Map;619;4,8498058;45,7919938
;True;69382;Open Street Map;623;4,823172;45,745169
;True;69389;Open Street Map;624;4,8039474;45,7792377
;False;69386;Open Street Map;625;4,840655;45,7679346
;True;69389;Open Street Map;626;4,8291606;45,7996356
bois;;69204;Open Street Map;627;4,7868951;45,6917146
bois;True;69296;Open Street Map;628;4,8405316;45,639366
bois;True;69290;Open Street Map;629;4,9463189;45,6949219
;True;69381;Open Street Map;631;4,8339398;45,7668178
;True;69207;Open Street Map;632;4,8042579;45,885603
;True;69383;Open Street Map;633;4,8570028;45,7555001
;True;69149;Open Street Map;634;4,8079991;45,7068105
;True;69389;Open Street Map;635;4,8112983;45,7869072
;False;69384;Open Street Map;636;4,8350348;45,7746969
;;69081;Open Street Map;637;4,7775621;45,7745887
;True;69266;Open Street Map;638;4,884313;45,7543477
;False;69385;Open Street Map;639;4,8212027;45,757912
;True;69266;Open Street Map;640;4,8774462;45,7551007
;True;69387;Open Street Map;641;4,8253768;45,732216
;;69266;Open Street Map;643;4,8882874;45,7631309
;True;69385;Open Street Map;644;4,7801475;45,7516028
;True;69387;Open Street Map;645;4,824847;45,7236704
;True;69383;Open Street Map;646;4,8944646;45,7490751
béton;False;69266;Open Street Map;647;4,8832714;45,7807049
;True;69387;Open Street Map;649;4,8405476;45,7558893
;;69271;Open Street Map;650;4,9703648;45,7401002
bois;True;69389;Open Street Map;651;4,8304351;45,7968306
;;69244;Open Street Map;652;4,7726796;45,7576918
;True;69382;Open Street Map;653;4,8358242;45,7604358
métal;False;69382;Open Street Map;654;4,835081;45,7617047
;True;69266;Open Street Map;656;4,8791224;45,7662103
;False;69387;Open Street Map;658;4,8563773;45,7435292
;True;69382;Open Street Map;659;4,8235071;45,7444193
;True;69149;Open Street Map;661;4,8075009;45,7197547
bois;True;69290;Open Street Map;662;4,9411039;45,6984174
