identifiantbornefontaine;gid;lon;lat
G201076;54;4,80790233433323;45,85640351150594
G59225;55;4,885918455315357;45,753999436803326
G63756;56;4,895274138223554;45,66490196628639
G201135;57;4,977920905016779;45,74600924930566
G2261;58;4,83131853343172;45,75743388073835
G57399;59;4,834457801033035;45,776740378710535
G201061;60;4,833459045473328;45,767643515365016
G14989;61;4,85746739294242;45,75526119476287
G199389;62;4,919965541104188;45,74703939857143
G201127;63;4,834300798115896;45,740880171148156
G4014;64;4,8565295368440875;45,706404247249154
G63079;65;4,8453509898053015;45,75589831531403
G201224;66;4,847534424700785;45,83266257328179
G201075;67;4,840553321940608;45,87576634328447
G57070;68;4,780429584276592;45,732710525249914
G57210;69;4,8483811331392275;45,76018057701715
G201058;70;4,780552555567971;45,77425867028339
G19301;71;4,829510992654303;45,775517055305535
G63765;72;4,876127172305879;45,67344207515809
G57652;73;4,90113037419873;45,73143668676563
G201065;74;4,835672519757406;45,75602411886698
G199892;75;4,805830448988985;45,7475938523779
G200686;76;4,914635314432672;45,75140687835744
G201067;77;4,836070292568894;45,779967582616834
G6004;78;4,883882005849212;45,699917532771636
G11627;79;4,849297933023199;45,75685521017503
G56592;80;4,79463480351002;45,77938027297623
G60049;81;4,784842291684589;45,67862966172549
G201073;82;4,833761552844004;45,79977628621807
G201136;83;4,976259488559124;45,74458147254815
G14725;84;4,849987140727409;45,76128850375485
G15349;85;4,864620950941092;45,756964743844165
G8047;86;4,794543041802145;45,69448442881575
G54901;87;4,8317410516614805;45,76803020227195
G57766;88;4,872248539330988;45,68987655986423
G4279;89;4,8341237306733715;45,76488315471717
G63755;90;4,977305382982499;45,70650256922499
G63761;91;4,82244730818913;45,869871654802154
G6258;92;4,83444846399485;45,77254194250614
G16044;93;4,836872209315926;45,7666245460317
G9847;94;4,85494424980982;45,75248591290378
G6570;96;4,83238652015611;45,766591389746914
G15513;97;4,823912175812112;45,75547418134599
G201084;98;4,909984082345186;45,73389069907568
G19307;99;4,8280438986072385;45,77516586398495
G19695;100;4,823630689079182;45,77721076402353
G5945;101;4,828006001970688;45,76854504677125
G199709;102;4,780805796299747;45,60392064507283
G13885;103;4,956325434784935;45,76896768243226
G4015;104;4,856474811673323;45,70716089626823
G60126;105;4,757873064493221;45,76001830018137
G10143;106;4,831516308142183;45,76104265434448
G57442;107;4,845646629285939;45,756831793522494
G201165;108;4,872440798524444;45,85226555626299
G57251;109;4,837669779246958;45,74680400328209
G201070;110;4,8289326771444046;45,76161954712529
G199578;111;4,981979087336595;45,76987075244037
G54785;112;4,829810747736267;45,76844142738225
G60194;113;4,724018588047884;45,74430262870271
G63764;114;4,901335813298177;45,705420708196414
G15619;115;4,8259468345455465;45,75879122891999
G8527;116;4,836965345020387;45,74339493829555
G6670;117;4,870625929922425;45,74406944031529
G200053;118;4,8579029565075285;45,76713784488763
G60408;119;4,82873826601336;45,7654685397033
G201546;121;4,905752610619968;45,76451075578001
G201063;122;4,833771955765612;45,76067943325653
G201081;123;4,916957502355783;45,737207386203494
G199885;124;4,8801479489651705;45,76632783163539
G599;125;4,8228180153767415;45,743151033054396
G15335;126;4,865370603123961;45,75718907159535
G10225;127;4,827117155030617;45,75398164177537
G199893;128;4,8048752257457465;45,7475597830509
G57446;129;4,852288297654765;45,78501105030161
G200802;130;4,840684838028465;45,63954088108656
A10209885;131;4,742624599403431;45,86507300788409
G201112;132;4,83007358078314;45,759969467308814
G16388;133;4,883603845679102;45,74857107149567
G63758;134;4,93749773911923;45,690634537303914
G4092;135;4,8573363579116755;45,70816664552783
G15211;136;4,865541423431582;45,75157810219766
G19399;137;4,8290127081713345;45,77611214623638
G19463;138;4,829893361556214;45,777604257914355
G201079;139;4,93034229980215;45,759023479617866
G201052;140;4,9358522259011375;45,694296816425144
G63754;141;4,942967863505805;45,699123601032376
G17080;142;4,821435426053592;45,762318799997644
G201137;143;4,976948308018825;45,74426339113613
G6094;144;4,827868230249547;45,77387653191638
G201057;145;4,828015837996339;45,794702330041105
G60061;146;4,77156149965541;45,73819308167576
G63762;147;4,820113273099256;45,869413672481954
G19780;148;4,816213386148408;45,766707860306404
G2778;149;4,840290828125125;45,73949745106669
G15089;150;4,786921084736225;45,755366065922615
G201071;151;4,797212363867124;45,756258852207246
G201074;152;4,808412215041463;45,780501855488616
G16177;153;4,880660988131091;45,748044195010564
G6079;154;4,825703067180909;45,77198228318131
G60198;155;4,871651990605322;45,69516419482917
G201059;156;4,816374695726094;45,72594821814437
G201068;157;4,834734292538035;45,77795391657324
G18204;158;4,8371275576259585;45,777628742309645
G59185;159;4,828041937973469;45,741964305928796
G13118;160;5,047627665838897;45,7965392161462
G897;161;4,838485331357437;45,75258975551665
G18782;162;4,835991272292725;45,77952127781786
G57655;163;4,854037326034674;45,785417645019955
G18438;164;4,830384705183045;45,77477723174282
G57441;165;4,845074920252971;45,75681829691127
G18365;166;4,832674530345166;45,77606574559666
G201054;167;4,885891841006396;45,71751108140641
G58674;168;4,845182277936338;45,76318844662338
G201072;169;4,812940695597317;45,75816815649604
G59751;170;4,840501509679164;45,756410236898496
G201134;171;4,896172821562316;45,69656586113575
G7919;4;4,8781276314099635;45,727367642958775
G11324;52;4,879212627241638;45,74355014730053
G201719;172;4,8366493664883325;45,73770092039886
G201739;173;4,834378069746853;45,73815356891391
G201700;174;4,889039859236073;45,759310052997044
G201787;175;4,838500174128946;45,74791732193027
