nom;indiccanop;gid
Place d'Arsonval;0,90;364
Place Ambroise Courtois;0,32;365
Jardin du Docteur René Biot;0,47;366
Square Berchet;0,18;367
Square de la Laïcite;0,30;368
Square de la Fraternité;0,00;369
Jardin Marius Berliet;0,26;370
Jardin Saint Nestor;0,42;371
Square Henri Pensier;0,00;372
Square Saint Hippolyte;0,67;373
Place de Stalingrad;0,76;374
Square du Béguin;0,36;375
Square René Bayet;0,00;376
Square du Brigadier Voituret;0,49;377
Place Jean Macé;0,85;378
Place Jean Macé;0,85;379
Place Jean Macé;0,98;380
Place Jean Macé;1,00;381
Square Chevreul;0,09;382
Place Saint Louis;0,43;383
Square Aristide Briand;0,79;384
Place Aristide Briand;1,00;385
Place Adb El-Kader;1,00;386
Place Victor Basch;0,91;387
Place Victor Basch;0,67;388
Voie Verte Garibaldi;0,41;507
Voie Verte Garibaldi;0,17;508
Jardin Saint Michel;0,72;389
Square Mazagran;0,09;390
Place du Prado;1,00;391
Place du Commandant Bulard;0,00;392
Square Deperet;0,82;393
Place Ollier;0,34;394
Square Raspail;1,00;395
Square Raspail;0,49;396
Square Calmette;0,70;397
Place de Weingarten;0,27;398
Square André Lacroix;0,89;399
Place de la Liberté;0,00;400
Place Baptiste Curial;0,18;401
Square Ampère;0,00;402
Place Georges Brassens;0,00;403
Square de la Pagère;0,09;404
Place Gaillard Romanet;0,17;405
Place Jules Hottin;0,62;406
Square Farrère;0,98;407
Square Noël Aymard;0,47;408
Place Claudia;0,79;409
Square Viala;0,67;410
Place Charles Dufraine;0,87;411
Bois des Chênes;0,99;412
Jardin du Château;0,67;413
Place du Château;1,00;414
Jardin Richard Vitton;0,00;415
Place Kimmerling;0,72;416
Place d'Espagne;0,60;417
Square Maurice Ferreol;0,41;418
Square Marcel Doret;0,55;419
Square de la Concorde;0,21;420
Place Saint Charles;0,00;421
Parc Marx Dormoy;0,80;422
Square Alban Vistel;0,24;444
Place Ronde;0,10;423
Place Antoinette;0,00;424
Place de la Reconnaissance;0,99;425
Parc George Bazin;0,60;426
Place Louise;0,00;427
Place des Poilus;0,00;428
Place des Poilus;0,00;429
Place des Poilus;0,00;430
Place des Poilus;0,00;431
Place Henri;0,24;432
Place Antoine Gallay;0,00;433
Place Antoine Gallay;0,00;434
Square de l'Est;0,00;435
Square Jules Verne;0,85;436
Jardin Barra;0,00;437
Square Rebatel;0,26;438
Square St Maximin;0,00;439
Square Jean Reverzy;0,83;440
Parc Professeur Paul Sisley;0,71;441
Square Roger Brechan;0,20;442
Square René Fusier;0,72;443
Esplanade du Dauphin;0,22;445
Jardin Château Sans Souci;0,38;446
Place Rouget de l'Isle;0,85;447
Square Lacassagne;0,61;448
Jardin de l'Abbe Boisard;0,51;449
Jardin Joseph Kaplan;0,12;450
Square Bir Hakeim;0,65;451
Jardin Lavoisier;0,00;452
Place Danton;0,00;453
Jardin d'Essling;0,82;454
Place des Martyrs de la Risistance;1,00;455
Square Pierre Pelloux;1,00;456
Place Pierre Simon Ballanche;0,00;457
Place Gabriel Peri;0,36;458
Place Gabriel Peri;0,28;459
Place Antonin Jutard;0,00;460
Jardin des Berges Mari Sklodowska-Curie;0,16;461
Place Bahadourian;0,11;462
Place Voltaire;1,00;463
Place Voltaire;0,99;464
Place Voltaire;1,00;465
Jardin Chaponnay Voltaire;0,00;466
Square Edison;0,00;467
Square Sainte-Marie Perrin;0,75;468
Square Desaix;0,48;469
Jardin Pierre Renaudel;1,00;470
Jardin Commandant Aubertin;0,70;471
Voie Verte Bouchut;0,75;472
Place Guichard;0,79;473
Place Charles Beraudier;0,16;475
Place de Milan;0,28;476
Place de la Vilette;0,00;477
Place de Francfort;0,00;478
Jardin Soeur Jeanne Jugan;0,47;479
Square d'Aunigny;0,02;480
Square du Sacrr Coeur;0,62;481
Place Saint Anne;0,69;482
Square Combet Descombes;0,00;483
Place de la Ferrandière;0,80;484
Square de la Roseraie;0,60;485
Jardin des Tout-Petits;0,87;486
Square du  Bataillon Carmagnole Liberte;0,85;487
Square Florian;0,36;488
Place Camille Joly;0,50;489
Place de la Déportation;0,00;490
Esplanade Part-Dieu;0,00;491
Voie Verte des Halles;0,00;492
Square Moncey;0,80;493
Place Marc Aron;0,01;494
Jardin du Nouveau Palais de Justice;0,41;495
Square Delestraint;0,80;496
Jardin des berges Aletta Jacobs;0,04;497
Jardin des berges Reine Astrid;0,24;498
Square Jussieu;0,87;499
Place Ernest Cavellini;0,20;500
Square Pierre brossolette;0,19;501
Square Pierre Brossolette;0,36;502
Voie Verte Garibaldi;0,00;512
Voie Verte Garibaldi;0,24;513
Square Manouchian;0,23;514
Jardin de l'Embellie;0,15;515
Parc de Vaillant Couturier;0,60;516
Jardin des Berges Amalia Rodrigues;0,24;517
Place Edgard Quinet;0,63;518
Square de L'ossuaire;0,11;519
Square Louis Blanc;0,98;520
Jardin Garibaldi Europe;0,35;521
Square Jérome Bererd;1,00;522
Place Maréchal Lyautey;0,58;523
Jardin Cardinal Villot;0,94;524
Place Jacques Elmaleh;0,64;525
Jardin des 3 Renards;0,58;526
Square de la Légion d'Honneur;0,00;527
Place Kleber;0,44;528
Place Kleber;0,00;529
Place Kleber;0,26;530
Place Kleber;0,00;531
Place René Deroudille;0,36;532
Square des Droits de l'Enfant;0,40;533
Place Genéral Brosset;0,00;534
Place Genéral Brosset;0,04;535
Jardin Thiers;0,18;536
Square Gabriel Péri;0,95;537
Place Charles Hernu;0,20;538
Place Charles Hernu;0,19;539
