ligne;code_trace;code_ligne;type_trace;nom_trace;sens;origine;destination;nom_origine;nom_destination;famille_transport;date_debut;date_fin;code_type_ligne;nom_type_ligne;pmr;code_tri_ligne;nom_version;last_update;last_update_fme;gid
15E;15E-3;15F;EXP;Bellecour Charite - Grigny Jean Moulin;Aller;10077;34274;Bellecour Charité;Grigny Jean Moulin;BUS;20260824;;REG;Régulière;True;15E;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.726955+02:00;886
15E;15E-6;15F;EXP;Millery Place du Bouton - Bellecour Charite;Retour;34713;10077;Millery Place du Bouton;Bellecour Charité;BUS;20260824;;REG;Régulière;True;15E;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.728150+02:00;888
37;37-3;37A;NOM;Charpennes Charles Hernu - O'Hara;Aller;10204;20206;Charpennes Charles Hernu;Vaulx O'Hara;BUS;20200921;;REG;Régulière;True;37;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.632323+02:00;762
39;39-1;39A;NOM;Parc de Parilly - Solaize Mairie;Aller;33230;11278;Parc de Parilly;Solaize Mairie;BUS;20180101;;REG;Régulière;True;39;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.634125+02:00;493
16;16-1;16A;NOM;Vaulx-en-Velin La Soie - Decines Grand Large;Aller;31760;31610;Vaulx-en-Velin La Soie;Décines Grand Large;BUS;20180101;;REG;Régulière;True;16;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.591126+02:00;441
16;16-2;16A;NOM;Decines Grand Large - Vaulx-en-Velin La Soie;Retour;31610;31760;Décines Grand Large;Vaulx-en-Velin La Soie;BUS;20180101;;REG;Régulière;True;16;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.591684+02:00;442
C1;C1-2;C1A;NOM;Cuire - Gare Part-Dieu Vivier Merle;Retour;10309;11064;Cuire;Gare Part-Dieu V.Merle;BUS;20180101;;REG;Régulière;True;C  1;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.746258+02:00;792
39;39-2;39A;NOM;Solaize Mairie - Parc de Parilly;Retour;11278;33230;Solaize Mairie;Parc de Parilly;BUS;20180101;;REG;Régulière;True;39;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.634758+02:00;494
20;20-2;20A;NOM;Gare de Vaise - St Cyr;Aller;10487;11294;Gare de Vaise-G.Collomb;St Cyr;BUS;20180101;;REG;Régulière;True;20;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.597485+02:00;449
62;62-3;62A;NOM;Gare de Venissieux. - Mions Jules Valles;Aller;20510;10958;Gare de Vénissieux.;Mions Jules Vallès;BUS;20300821;;REG;Régulière;True;62;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.661722+02:00;764
62;62-4;62A;NOM;Mions Jules Valles - Gare de Venissieux;Retour;10958;20487;Mions Jules Vallès;Gare de Vénissieux;BUS;20300821;;REG;Régulière;True;62;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.662405+02:00;765
3;3-6;3A;NUI;Porte de Lyon - Gorge de Loup;Retour;11147;10513;Porte de Lyon;Gorge de Loup;BUS;20180101;;REG;Régulière;True;3;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.574437+02:00;417
40;40-2;40A;NOM;Neuville - Bellecour Le Viste;Retour;11014;10080;Neuville;Bellecour Le Viste;BUS;20180101;;REG;Régulière;True;40;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.635985+02:00;496
43;43-4;43A;NOM;Gare de Vaise - St Romain Centre;Aller;10487;32561;Gare de Vaise-G.Collomb;St Romain Centre;BUS;20180101;;REG;Régulière;True;43;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.636528+02:00;497
43;43-6;43A;NOM;St Romain Centre - Gare de Vaise;Retour;32561;10487;St Romain Centre;Gare de Vaise-G.Collomb;BUS;20180101;;REG;Régulière;True;43;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.639017+02:00;500
27;27-3;27A;TVX;Vieux Lyon - Villeurbanne Centre;Aller;20167;33593;Vieux Lyon;Villeurbanne Centre;BUS;20240801;;REG;Régulière;True;27;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.615325+02:00;853
46;46-1;46A;NOM;Perrache - Boyer;Aller;30977;10116;Perrache;Boyer;BUS;20180101;;REG;Régulière;True;46;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.642935+02:00;505
46;46-2;46A;NOM;Boyer - Perrache;Retour;10116;30977;Boyer;Perrache;BUS;20180101;;REG;Régulière;True;46;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.643815+02:00;506
10;10-2;10D;NOR;Porte de Lyon - Gare de Vaise;Retour;11147;10487;Porte de Lyon;Gare de Vaise-G.Collomb;BUS;20160420;;REG;Régulière;True;10;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.583636+02:00;741
48;48-1;48B;NOM;Bornicat - Aerop. St Ex. - Gare Routiere;Aller;34321;34323;Bornicat;St Ex. - Gare Routière;BUS;20190209;;REG;Régulière;True;48;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.645919+02:00;727
